dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_bin,atemp_bin,hum_bin,windspeed_bin
2011-01-01,Springer,2011,January,12AM,No,Saturday,Weekend,Clear,9.84,14.395,81.0,0.0,3,13,16,Cold,Cold,Very High,Very Low
2011-01-01,Springer,2011,January,1AM,No,Saturday,Weekend,Clear,9.02,13.635,80.0,0.0,8,32,40,Cold,Cold,High,Very Low
2011-01-01,Springer,2011,January,2AM,No,Saturday,Weekend,Clear,9.02,13.635,80.0,0.0,5,27,32,Cold,Cold,High,Very Low
2011-01-01,Springer,2011,January,3AM,No,Saturday,Weekend,Clear,9.84,14.395,75.0,0.0,3,10,13,Cold,Cold,High,Very Low
2011-01-01,Springer,2011,January,4AM,No,Saturday,Weekend,Clear,9.84,14.395,75.0,0.0,0,1,1,Cold,Cold,High,Very Low
2011-01-01,Springer,2011,January,5AM,No,Saturday,Weekend,Mist,9.84,12.879999999999999,75.0,6.0032,0,1,1,Cold,Cold,High,Very Low
2011-01-01,Springer,2011,January,6AM,No,Saturday,Weekend,Clear,9.02,13.635,80.0,0.0,2,0,2,Cold,Cold,High,Very Low
2011-01-01,Springer,2011,January,7AM,No,Saturday,Weekend,Clear,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,Very Cold,Cold,Very High,Very Low
2011-01-01,Springer,2011,January,8AM,No,Saturday,Weekend,Clear,9.84,14.395,75.0,0.0,1,7,8,Cold,Cold,High,Very Low
2011-01-01,Springer,2011,January,9AM,No,Saturday,Weekend,Clear,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,Cold,Cold,High,Very Low
2011-01-01,Springer,2011,January,10AM,No,Saturday,Weekend,Clear,15.58,19.695,76.0,16.997899999999998,12,24,36,Cold,Cold,High,Low
2011-01-01,Springer,2011,January,11AM,No,Saturday,Weekend,Clear,14.76,16.665,81.0,19.0012,26,30,56,Cold,Cold,Very High,Low
2011-01-01,Springer,2011,January,12PM,No,Saturday,Weekend,Clear,17.22,21.21,77.0,19.0012,29,55,84,Normal,Normal,High,Low
2011-01-01,Springer,2011,January,1PM,No,Saturday,Weekend,Mist,18.86,22.725,72.0,19.999499999999998,47,47,94,Normal,Normal,High,Low
2011-01-01,Springer,2011,January,2PM,No,Saturday,Weekend,Mist,18.86,22.725,72.0,19.0012,35,71,106,Normal,Normal,High,Low
2011-01-01,Springer,2011,January,3PM,No,Saturday,Weekend,Mist,18.04,21.97,77.0,19.999499999999998,40,70,110,Normal,Normal,High,Low
2011-01-01,Springer,2011,January,4PM,No,Saturday,Weekend,Mist,17.22,21.21,82.0,19.999499999999998,41,52,93,Normal,Normal,Very High,Low
2011-01-01,Springer,2011,January,5PM,No,Saturday,Weekend,Mist,18.04,21.97,82.0,19.0012,15,52,67,Normal,Normal,Very High,Low
2011-01-01,Springer,2011,January,6PM,No,Saturday,Weekend,Light Snow,17.22,21.21,88.0,16.997899999999998,9,26,35,Normal,Normal,Very High,Low
2011-01-01,Springer,2011,January,7PM,No,Saturday,Weekend,Light Snow,17.22,21.21,88.0,16.997899999999998,6,31,37,Normal,Normal,Very High,Low
2011-01-01,Springer,2011,January,8PM,No,Saturday,Weekend,Mist,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,Cold,Normal,Very High,Low
2011-01-01,Springer,2011,January,9PM,No,Saturday,Weekend,Mist,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,Cold,Normal,Very High,Low
2011-01-01,Springer,2011,January,10PM,No,Saturday,Weekend,Mist,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,Cold,Normal,Very High,Low
2011-01-01,Springer,2011,January,11PM,No,Saturday,Weekend,Mist,18.86,22.725,88.0,19.999499999999998,15,24,39,Normal,Normal,Very High,Low
2011-01-02,Springer,2011,January,12AM,No,Sunday,Weekend,Mist,18.86,22.725,88.0,19.999499999999998,4,13,17,Normal,Normal,Very High,Low
2011-01-02,Springer,2011,January,1AM,No,Sunday,Weekend,Mist,18.04,21.97,94.0,16.997899999999998,1,16,17,Normal,Normal,Very High,Low
2011-01-02,Springer,2011,January,2AM,No,Sunday,Weekend,Mist,17.22,21.21,100.0,19.0012,1,8,9,Normal,Normal,Very High,Low
2011-01-02,Springer,2011,January,3AM,No,Sunday,Weekend,Mist,18.86,22.725,94.0,12.998000000000001,2,4,6,Normal,Normal,Very High,Low
2011-01-02,Springer,2011,January,4AM,No,Sunday,Weekend,Mist,18.86,22.725,94.0,12.998000000000001,2,1,3,Normal,Normal,Very High,Low
2011-01-02,Springer,2011,January,6AM,No,Sunday,Weekend,Light Snow,17.22,21.21,77.0,19.999499999999998,0,2,2,Normal,Normal,High,Low
2011-01-02,Springer,2011,January,7AM,No,Sunday,Weekend,Mist,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,Cold,Normal,High,Low
2011-01-02,Springer,2011,January,8AM,No,Sunday,Weekend,Light Snow,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,Cold,Normal,High,Low
2011-01-02,Springer,2011,January,9AM,No,Sunday,Weekend,Mist,15.58,19.695,76.0,15.001299999999999,1,19,20,Cold,Cold,High,Low
2011-01-02,Springer,2011,January,10AM,No,Sunday,Weekend,Mist,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,Cold,Cold,Very High,Low
2011-01-02,Springer,2011,January,11AM,No,Sunday,Weekend,Mist,14.76,16.665,71.0,16.997899999999998,16,54,70,Cold,Cold,High,Low
2011-01-02,Springer,2011,January,12PM,No,Sunday,Weekend,Mist,14.76,16.665,66.0,19.999499999999998,20,73,93,Cold,Cold,High,Low
2011-01-02,Springer,2011,January,1PM,No,Sunday,Weekend,Mist,14.76,17.424999999999997,66.0,8.9981,11,64,75,Cold,Cold,High,Very Low
2011-01-02,Springer,2011,January,2PM,No,Sunday,Weekend,Light Snow,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,Cold,Cold,High,Low
2011-01-02,Springer,2011,January,3PM,No,Sunday,Weekend,Light Snow,13.940000000000001,16.665,81.0,11.0014,19,55,74,Cold,Cold,Very High,Very Low
2011-01-02,Springer,2011,January,4PM,No,Sunday,Weekend,Light Snow,13.940000000000001,16.665,71.0,11.0014,9,67,76,Cold,Cold,High,Very Low
2011-01-02,Springer,2011,January,5PM,No,Sunday,Weekend,Clear,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,Cold,Cold,Normal,Low
2011-01-02,Springer,2011,January,6PM,No,Sunday,Weekend,Mist,14.76,16.665,46.0,22.0028,10,43,53,Cold,Cold,Normal,Low
2011-01-02,Springer,2011,January,7PM,No,Sunday,Weekend,Clear,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,Cold,Cold,Normal,Normal
2011-01-02,Springer,2011,January,8PM,No,Sunday,Weekend,Clear,12.299999999999999,13.635,39.0,23.9994,5,17,22,Cold,Cold,Low,Normal
2011-01-02,Springer,2011,January,9PM,No,Sunday,Weekend,Clear,10.66,11.365,44.0,22.0028,11,20,31,Cold,Cold,Normal,Low
2011-01-02,Springer,2011,January,10PM,No,Sunday,Weekend,Clear,9.84,10.605,44.0,19.999499999999998,0,9,9,Cold,Cold,Normal,Low
2011-01-02,Springer,2011,January,11PM,No,Sunday,Weekend,Clear,9.02,11.365,47.0,11.0014,0,8,8,Cold,Cold,Normal,Very Low
2011-01-03,Springer,2011,January,12AM,No,Monday,Weekday,Clear,9.02,9.85,44.0,23.9994,0,5,5,Cold,Very Cold,Normal,Normal
2011-01-03,Springer,2011,January,1AM,No,Monday,Weekday,Clear,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,Very Cold,Very Cold,Normal,Normal
2011-01-03,Springer,2011,January,4AM,No,Monday,Weekday,Clear,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,Very Cold,Very Cold,Normal,Normal
2011-01-03,Springer,2011,January,5AM,No,Monday,Weekday,Clear,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,Very Cold,Very Cold,Normal,Low
2011-01-03,Springer,2011,January,6AM,No,Monday,Weekday,Clear,5.74,5.305,50.0,26.0027,0,30,30,Very Cold,Very Cold,Normal,Normal
2011-01-03,Springer,2011,January,7AM,No,Monday,Weekday,Clear,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,Very Cold,Very Cold,Normal,Low
2011-01-03,Springer,2011,January,8AM,No,Monday,Weekday,Clear,5.74,6.0600000000000005,50.0,19.0012,1,153,154,Very Cold,Very Cold,Normal,Low
2011-01-03,Springer,2011,January,9AM,No,Monday,Weekday,Clear,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,Very Cold,Very Cold,Normal,Normal
2011-01-03,Springer,2011,January,10AM,No,Monday,Weekday,Clear,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,Very Cold,Very Cold,Normal,Low
2011-01-03,Springer,2011,January,11AM,No,Monday,Weekday,Clear,8.200000000000001,9.09,40.0,22.0028,10,41,51,Very Cold,Very Cold,Low,Low
2011-01-03,Springer,2011,January,12PM,No,Monday,Weekday,Clear,9.02,10.605,35.0,19.999499999999998,13,48,61,Cold,Cold,Low,Low
2011-01-03,Springer,2011,January,1PM,No,Monday,Weekday,Clear,9.84,10.605,35.0,19.0012,8,53,61,Cold,Cold,Low,Low
2011-01-03,Springer,2011,January,2PM,No,Monday,Weekday,Clear,10.66,12.120000000000001,30.0,19.0012,11,66,77,Cold,Cold,Low,Low
2011-01-03,Springer,2011,January,3PM,No,Monday,Weekday,Clear,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,Cold,Cold,Low,Low
2011-01-03,Springer,2011,January,4PM,No,Monday,Weekday,Clear,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,Cold,Cold,Low,Low
2011-01-03,Springer,2011,January,5PM,No,Monday,Weekday,Clear,9.84,11.365,30.0,15.001299999999999,11,146,157,Cold,Cold,Low,Low
2011-01-03,Springer,2011,January,6PM,No,Monday,Weekday,Clear,9.84,12.879999999999999,32.0,7.0015,9,148,157,Cold,Cold,Low,Very Low
2011-01-03,Springer,2011,January,7PM,No,Monday,Weekday,Clear,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,Very Cold,Cold,Normal,Very Low
2011-01-03,Springer,2011,January,8PM,No,Monday,Weekday,Clear,8.200000000000001,11.365,47.0,7.0015,3,49,52,Very Cold,Cold,Normal,Very Low
2011-01-03,Springer,2011,January,9PM,No,Monday,Weekday,Clear,7.38,9.85,64.0,8.9981,3,49,52,Very Cold,Very Cold,High,Very Low
2011-01-03,Springer,2011,January,10PM,No,Monday,Weekday,Clear,5.74,7.575,69.0,8.9981,0,20,20,Very Cold,Very Cold,High,Very Low
2011-01-03,Springer,2011,January,11PM,No,Monday,Weekday,Clear,7.38,10.605,55.00000000000001,7.0015,1,11,12,Very Cold,Cold,Normal,Very Low
2011-01-04,Springer,2011,January,12AM,No,Tuesday,Weekday,Clear,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,Very Cold,Very Cold,Normal,Very Low
2011-01-04,Springer,2011,January,1AM,No,Tuesday,Weekday,Clear,6.5600000000000005,9.09,59.0,7.0015,0,2,2,Very Cold,Very Cold,Normal,Very Low
2011-01-04,Springer,2011,January,2AM,No,Tuesday,Weekday,Clear,5.74,7.575,63.0,8.9981,0,1,1,Very Cold,Very Cold,High,Very Low
2011-01-04,Springer,2011,January,4AM,No,Tuesday,Weekday,Clear,5.74,9.09,63.0,6.0032,0,2,2,Very Cold,Very Cold,High,Very Low
2011-01-04,Springer,2011,January,5AM,No,Tuesday,Weekday,Clear,4.92,7.575,68.0,7.0015,0,4,4,Very Cold,Very Cold,High,Very Low
2011-01-04,Springer,2011,January,6AM,No,Tuesday,Weekday,Clear,4.92,7.575,74.0,7.0015,0,36,36,Very Cold,Very Cold,High,Very Low
2011-01-04,Springer,2011,January,7AM,No,Tuesday,Weekday,Clear,4.92,7.575,74.0,8.9981,2,92,94,Very Cold,Very Cold,High,Very Low
2011-01-04,Springer,2011,January,8AM,No,Tuesday,Weekday,Clear,5.74,7.575,69.0,11.0014,2,177,179,Very Cold,Very Cold,High,Very Low
2011-01-04,Springer,2011,January,9AM,No,Tuesday,Weekday,Clear,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,Very Cold,Very Cold,High,Low
2011-01-04,Springer,2011,January,10AM,No,Tuesday,Weekday,Mist,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,Very Cold,Very Cold,High,Low
2011-01-04,Springer,2011,January,11AM,No,Tuesday,Weekday,Clear,9.02,10.605,51.0,19.999499999999998,7,50,57,Cold,Cold,Normal,Low
2011-01-04,Springer,2011,January,12PM,No,Tuesday,Weekday,Clear,9.02,11.365,51.0,11.0014,12,66,78,Cold,Cold,Normal,Very Low
2011-01-04,Springer,2011,January,1PM,No,Tuesday,Weekday,Clear,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,Cold,Cold,Normal,Low
2011-01-04,Springer,2011,January,2PM,No,Tuesday,Weekday,Clear,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,Cold,Cold,Normal,Low
2011-01-04,Springer,2011,January,3PM,No,Tuesday,Weekday,Clear,11.48,13.635,52.0,16.997899999999998,17,48,65,Cold,Cold,Normal,Low
2011-01-04,Springer,2011,January,4PM,No,Tuesday,Weekday,Clear,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,Cold,Cold,Normal,Low
2011-01-04,Springer,2011,January,5PM,No,Tuesday,Weekday,Clear,11.48,13.635,48.0,15.001299999999999,10,202,212,Cold,Cold,Normal,Low
2011-01-04,Springer,2011,January,6PM,No,Tuesday,Weekday,Clear,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,Cold,Cold,Normal,Low
2011-01-04,Springer,2011,January,7PM,No,Tuesday,Weekday,Clear,9.84,12.879999999999999,48.0,7.0015,2,110,112,Cold,Cold,Normal,Very Low
2011-01-04,Springer,2011,January,8PM,No,Tuesday,Weekday,Clear,9.84,12.879999999999999,48.0,7.0015,1,53,54,Cold,Cold,Normal,Very Low
2011-01-04,Springer,2011,January,9PM,No,Tuesday,Weekday,Clear,9.02,13.635,64.0,0.0,0,48,48,Cold,Cold,High,Very Low
2011-01-04,Springer,2011,January,10PM,No,Tuesday,Weekday,Clear,9.02,12.879999999999999,64.0,6.0032,1,34,35,Cold,Cold,High,Very Low
2011-01-04,Springer,2011,January,11PM,No,Tuesday,Weekday,Clear,8.200000000000001,11.365,69.0,6.0032,2,9,11,Very Cold,Cold,High,Very Low
2011-01-05,Springer,2011,January,12AM,No,Wednesday,Weekday,Clear,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,Very Cold,Cold,High,Very Low
